paper_id,stage,metadata_title,metadata_title_confidence,metadata_doi,metadata_doi_confidence,metadata_journal,metadata_journal_confidence,metadata_year,metadata_year_confidence,metadata_authors,metadata_document_type,metadata_document_type_confidence,metadata_route_type,metadata_exclusion_reason,metadata_exclusion_reason_confidence,catalyst_id,catalyst_name,active_metal,support,promoter,preparation_method,reduction_temp,reduction_time,reduction_atmosphere,condition_id,catalyst_ref,temperature,pressure,space_velocity,h2_co_ratio,reactor,time_on_stream,performance_id,metric,species_or_range,value,unit,confidence,target_stage,target_field,page,table_or_figure,caption,evidence_text
93146d797765861d,metadata,Thermodynamic analysis of nanoparticle size effect on kinetics in Fischer–Tropsch synthesis by lanthanum promoted iron catalyst,1.0,10.1007/s00339-013-8156-7,1.0,Journal of Materials Science,0.9,2013,1.0,"[{'value': 'Ali Nakhaei Pour, Mohammad Reza Housaindokht, Alireza Behroozsarand, Mohammad Ali Khodagholi', 'provenance': {'context_blocks': [1]}, 'confidence': 1}]",Research Article,0.9,"[{'value': 'Research', 'provenance': {'context_blocks': [1]}, 'confidence': 0.9}]",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93146d797765861d,catalyst,,,,,,,,,,,,,,,93146d797765861d:cat001,Fe/Cu/La,Fe,,La,microemulsion method,,,,,,,,,,,,,,,,,,,,,,,
93146d797765861d,reaction_conditions,,,,,,,,,,,,,,,,,,,,,,,,93146d797765861d:cond001,Fe/Cu/La,,,,,continuous spinning bed reactor,24,,,,,,,,,,,,
93146d797765861d,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,93146d797765861d:perf001,conversion,CO,,,0.0,,,,,,
93146d797765861d,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,93146d797765861d:perf002,yield,C5+,,,0.0,,,,,,
93146d797765861d,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,93146d797765861d:perf003,STY,liquid hydrocarbon,,,0.0,,,,,,
93146d797765861d,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,93146d797765861d:perf004,productivity,jet-fuel-range hydrocarbons,,,0.0,,,,,,
93146d797765861d,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,performance,activation_energy,6,Table 1,Activation energies of catalysts increased from 89 to 114 kJ/mol by increasing the catalyst particle size (r) from 18 to 45 nm.,the activation energies of catalysts increased from 89 to 114 kJ/mol by increasing the catalyst particle size (r) from 18 to 45 nm
93146d797765861d,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,performance,apparent_heat_of_adsorption,6,Table 1,The apparent heats of adsorption of catalysts calculated about 51 to 71 kJ/mol.,"The apparent heats of adsorption of catalysts calculated about 51 to 71 kJ/mol, are in agreement with those reported for equivalent values reported in literatures."
93146d797765861d,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,performance,adsorption_parameter,7,Table 2,The adsorption parameter (bcal) is calculated by Eq.,the adsorption parameter (bcal) is calculated by Eq. using the surface tension energy (r) for iron carbides.
93146d797765861d,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,performance,size_independent_activation_energy,8,Table 3,"Both methods give the same size independent activation energy (E?) and size independent adsorption enthalpy (DH?), which are equal to 130 and 85 kJ/mol, respectively.","both methods give the same size independent activation energy (E?) and size independent adsorption enthalpy (DH?), which are equal to 130 and 85 kJ/mol."
bb70e63cc1732b95,metadata,Thermodynamic analysis of nanoparticle size effect on kinetics in Fischer–Tropsch synthesis by lanthanum promoted iron catalyst,1.0,10.1007/s00339-013-8156-7,1.0,Journal of Materials Science,0.8,2013,1.0,"[{'value': 'Ali Nakhaei Pour, Mohammad Reza Housaindokht, Alireza Behroozsarand, Mohammad Ali Khodagholi', 'provenance': {'context_blocks': [1]}, 'confidence': 1}]",Research Article,0.9,"[{'value': 'Research', 'provenance': {'context_blocks': [1]}, 'confidence': 0.9}]",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb70e63cc1732b95,catalyst,,,,,,,,,,,,,,,bb70e63cc1732b95:cat001,Fe/Cu/La,Fe,,La,microemulsion method,,,,,,,,,,,,,,,,,,,,,,,
bb70e63cc1732b95,reaction_conditions,,,,,,,,,,,,,,,,,,,,,,,,bb70e63cc1732b95:cond001,Fe/Cu/La,,,,,continuous spinning bed reactor,24,,,,,,,,,,,,
bb70e63cc1732b95,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,bb70e63cc1732b95:perf001,conversion,CO,,,0.0,,,,,,
bb70e63cc1732b95,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,bb70e63cc1732b95:perf002,yield,C5+,,,0.0,,,,,,
bb70e63cc1732b95,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,bb70e63cc1732b95:perf003,STY,liquid hydrocarbon,,,0.0,,,,,,
bb70e63cc1732b95,performance,,,,,,,,,,,,,,,,,,,,,,,,,Fe/Cu/La,,,,,,,bb70e63cc1732b95:perf004,productivity,jet-fuel-range hydrocarbons,,,0.0,,,,,,
bb70e63cc1732b95,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,metadata|catalyst|reaction_conditions|performance,activation_energy,6,Table 1,Activation energies of catalysts increased from 89 to 114 kJ/mol by increasing the catalyst particle size (r) from 18 to 45 nm.,the activation energies of catalysts increased from 89 to 114 kJ/mol by increasing the catalyst particle size (r) from 18 to 45 nm
bb70e63cc1732b95,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,metadata|catalyst|reaction_conditions|performance,heat_of_adsorption,6,Table 1,The apparent heats of adsorption of catalysts calculated about 51 to 71 kJ/mol.,"The apparent heats of adsorption of catalysts calculated about 51 to 71 kJ/mol, are in agreement with those reported for equivalent values reported in literatures."
bb70e63cc1732b95,provenance_confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,metadata|catalyst|reaction_conditions|performance,adsorption_parameter,7,Table 2,The adsorption parameter (bcal) is calculated by Eq.,the adsorption parameter (bcal) is calculated by Eq.
1f96fac68f9b5390,metadata,Novel Utilization of Zeolited Fly Ash Hosting Cobalt Nanoparticles as a Catalyst Applied to the Fischer–Tropsch Synthesis,1.0,10.1007/s10562-008-9671-6,1.0,Catalysis Letters,0.9,2008,1.0,"[{'value': 'F. Fotovat, M. Kazemeini, H. Kazemian', 'provenance': {'context_blocks': [1]}, 'confidence': 1}]",Research Article,0.9,"[{'value': 'Fischer–Tropsch synthesis', 'provenance': {'context_blocks': [1]}, 'confidence': 1}]",,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1f96fac68f9b5390,catalyst,,,,,,,,,,,,,,,1f96fac68f9b5390:cat001,Co/Z-2,Co,FAU zeolite,,ion-exchange,673,5,H2,,,,,,,,,,,,,,,,,,,,
1f96fac68f9b5390,catalyst,,,,,,,,,,,,,,,1f96fac68f9b5390:cat002,Co/Z-4,Co,FAU zeolite,,ion-exchange,673,5,H2,,,,,,,,,,,,,,,,,,,,
1f96fac68f9b5390,reaction_conditions,,,,,,,,,,,,,,,,,,,,,,,,1f96fac68f9b5390:cond001,Co/Z-1,523,20,15,2,fixed-bed stainless-steel microreactor,20,,,,,,,,,,,,
1f96fac68f9b5390,performance,,,,,,,,,,,,,,,,,,,,,,,,,Co/Z-1,,,,,,,1f96fac68f9b5390:perf001,CO conversion,CO,,,0.0,,,,,,
1f96fac68f9b5390,performance,,,,,,,,,,,,,,,,,,,,,,,,,Co/Z-2,,,,,,,1f96fac68f9b5390:perf002,selectivity,CH4,,,0.0,,,,,,
1f96fac68f9b5390,performance,,,,,,,,,,,,,,,,,,,,,,,,,Co/Z-2,,,,,,,1f96fac68f9b5390:perf003,C5+ selectivity,C5+,,,0.0,,,,,,
