doi,paper_id,doi_source,doi_conflict,first_page_doi,prior_doi,title_best,prior_title,filename_title_guess,journal_best,year_best,authors_best,source_set,prior_publisher_group,prior_access_classification,prior_document_type,file_name,relative_path,page_count,file_size_mb,metadata_prior_match_score
10.1007/s00339-013-8156-7,46ba98101e012b1d,first_page_doi,FALSE,10.1007/s00339-013-8156-7,,s00339-013-8156-7,,s00339-013-8156-7,,,,OA,,,,s00339-013-8156-7.pdf,OA/OA-paper/s00339-013-8156-7.pdf,9,1.037,0.13
10.1007/s10562-008-9671-6,d96bce73178e2dd9,first_page_doi,FALSE,10.1007/s10562-008-9671-6,,s10562-008-9671-6,,s10562-008-9671-6,,,,OA,,,,s10562-008-9671-6.pdf,OA/OA-paper/s10562-008-9671-6.pdf,9,0.399,0.152
10.1007/s10562-012-0789-1,5e9138dcd95f7d08,first_page_doi,FALSE,10.1007/s10562-012-0789-1,,s10562-012-0789-1,,s10562-012-0789-1,,,,OA,,,,s10562-012-0789-1.pdf,OA/OA-paper/s10562-012-0789-1.pdf,8,1.149,0.152
10.1007/s10562-013-1110-7,5a372f8f26bbfcdc,first_page_doi,FALSE,10.1007/s10562-013-1110-7,,s10562-013-1110-7,,s10562-013-1110-7,,,,OA,,,,s10562-013-1110-7.pdf,OA/OA-paper/s10562-013-1110-7.pdf,9,0.723,0.152
10.1007/s10562-025-05249-5,0a01f94480fb52ae,first_page_doi,FALSE,10.1007/s10562-025-05249-5,,s10562-025-05249-5,,s10562-025-05249-5,,,,OA,,,,s10562-025-05249-5.pdf,OA/OA-paper/s10562-025-05249-5.pdf,10,2.855,0.15
10.1007/s10853-017-1299-8,9c286f4e5d4e9f78,first_page_doi,FALSE,10.1007/s10853-017-1299-8,,s10853-017-1299-8,,s10853-017-1299-8,,,,OA,,,,s10853-017-1299-8.pdf,OA/OA-paper/s10853-017-1299-8.pdf,13,3.075,0.13
10.1007/s10853-021-06457-1,155e833ad5187001,first_page_doi,FALSE,10.1007/s10853-021-06457-1,,s10853-021-06457-1,,s10853-021-06457-1,,,,OA,,,,s10853-021-06457-1.pdf,OA/OA-paper/s10853-021-06457-1.pdf,12,1.065,0.15
10.1007/s10934-024-01641-5,cb59982ecd25c1d1,first_page_doi,FALSE,10.1007/s10934-024-01641-5,,s10934-024-01641-5,,s10934-024-01641-5,,,,OA,,,,s10934-024-01641-5.pdf,OA/OA-paper/s10934-024-01641-5.pdf,11,4.868,0.12
10.1007/s11144-021-02071-z,76e942e2c950c01a,first_page_doi,FALSE,10.1007/s11144-021-02071-z,,s11144-021-02071-z,,s11144-021-02071-z,,,,OA,,,,s11144-021-02071-z.pdf,OA/OA-paper/s11144-021-02071-z.pdf,18,1.324,0.171
10.1007/s11244-008-9138-4,7293c8038cfb3b5d,first_page_doi,FALSE,10.1007/s11244-008-9138-4,,s11244-008-9138-4,,s11244-008-9138-4,,,,OA,,,,s11244-008-9138-4.pdf,OA/OA-paper/s11244-008-9138-4.pdf,16,0.752,0.147
10.1007/s11244-015-0455-0,59c32b6631d49d9a,first_page_doi,FALSE,10.1007/s11244-015-0455-0,,s11244-015-0455-0,,s11244-015-0455-0,,,,OA,,,,s11244-015-0455-0.pdf,OA/OA-paper/s11244-015-0455-0.pdf,9,0.922,0.147
10.1007/s11244-021-01428-x,50a042b0e5858464,first_page_doi,FALSE,10.1007/s11244-021-01428-x,,s11244-021-01428-x,,s11244-021-01428-x,,,,OA,,,,s11244-021-01428-x.pdf,OA/OA-paper/s11244-021-01428-x.pdf,10,3.395,0.15
10.1007/s11426-025-2616-0,48f587c79a893f98,first_page_doi,FALSE,10.1007/s11426-025-2616-0,,s11426-025-2616-0,,s11426-025-2616-0,,,,OA,,,,s11426-025-2616-0.pdf,OA/OA-paper/s11426-025-2616-0.pdf,3,0.616,0.147
10.1007/s11696-018-0565-9,662c178730344a3a,first_page_doi,FALSE,10.1007/s11696-018-0565-9,,s11696-018-0565-9,,s11696-018-0565-9,,,,OA,,,,s11696-018-0565-9.pdf,OA/OA-paper/s11696-018-0565-9.pdf,10,2.558,0.147
10.1007/s12206-020-0442-7,d98684bddc9e5c2c,first_page_doi,FALSE,10.1007/s12206-020-0442-7,,s12206-020-0442-7,,s12206-020-0442-7,,,,OA,,,,s12206-020-0442-7.pdf,OA/OA-paper/s12206-020-0442-7.pdf,10,2.527,0.122
10.1007/s43153-025-00629-1,b066702105829153,first_page_doi,FALSE,10.1007/s43153-025-00629-1,,s43153-025-00629-1,,s43153-025-00629-1,,,,OA,,,,s43153-025-00629-1.pdf,OA/OA-paper/s43153-025-00629-1.pdf,16,2.419,0.134
10.1039/c39910000849,4d2f57aab70f8c51,xlsx_prior_doi,FALSE,,10.1039/c39910000849,SELECTIVE SYNTHESIS OF ALK-1-ENES FROM CO/H2 CATALYZED BY HIGHLY REDUCED ZEOLITE-ENTRAPPED COBALT CLUSTERS,SELECTIVE SYNTHESIS OF ALK-1-ENES FROM CO/H2 CATALYZED BY HIGHLY REDUCED ZEOLITE-ENTRAPPED COBALT CLUSTERS,SELECTIVE SYNTHESIS OF ALK 1 ENES FROM CO H2 CATALYZED BY HIGHLY REDUCED ZEOLITE ENTRAPPED COBALT CLUSTERS,JOURNAL OF THE CHEMICAL SOCIETY-CHEMICAL COMMUNICATIONS,1991,"KOH, DJ; CHUNG, JS; KIM, YG",OA,RSC,OA_DOWNLOADABLE,Article,KOH_1991_SELECTIVE_SYNTHESIS_OF_ALK_1_ENES_FROM_CO_H2_CATALYZED_BY_HIGHLY_REDUCED_ZEOLITE_ENTRAPPED_COBALT_CLUSTERS_36db8d0cb8.pdf,OA/OA-paper/KOH_1991_SELECTIVE_SYNTHESIS_OF_ALK_1_ENES_FROM_CO_H2_CATALYZED_BY_HIGHLY_REDUCED_ZEOLITE_ENTRAPPED_COBALT_CLUSTERS_36db8d0cb8.pdf,2,0.223,1
10.1039/c3cc00160a,5a65e533c36f2ad0,first_page_doi,FALSE,10.1039/c3cc00160a,10.1039/c3cc00160a,X-ray nanoscopy of cobalt Fischer-Tropsch catalysts at work,X-ray nanoscopy of cobalt Fischer-Tropsch catalysts at work,X ray nanoscopy of cobalt Fischer Tropsch catalysts at work,CHEMICAL COMMUNICATIONS,2013,"Cats, Korneel H.; Gonzalez-Jimenez, Ines D.; Liu, Yijin; Nelson, Johanna; van Campen, Douglas; Meirer, Florian; van der Eerden, Ad M. J.; de Groot, Frank M. F.; Andrews, Joy C.; Weckhuysen, Bert M.",OA,RSC,OA_DOWNLOADABLE,Article,Cats_2013_X_ray_nanoscopy_of_cobalt_Fischer_Tropsch_catalysts_at_work_86beb1fbf1.pdf,OA/OA-paper/Cats_2013_X_ray_nanoscopy_of_cobalt_Fischer_Tropsch_catalysts_at_work_86beb1fbf1.pdf,3,1.657,1
